title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Рекрутер,от 270 000 до 336 000 ₸ за месяц,Нур-Султан (Астана),ТОО Детский мир - Казахстан,,,"Полный цикл рекрутмента специалистов разного уровня по всем городам Казахстана: поиск, подбор, проведение интервью, сбор рекомендаций, обратная связь кандидатам; Ведение кандидатов до момента выхода на работу; Ведение внутренней базы кандидатов; Взаимодействие с руководителями структурных подразделений; Мониторинг рынка труда (актуализация ЗП, анализ предложений / спроса рынка); Ведение отчетности. Чего мы ждем от тебя: Желателен опыт работы рекрутером желательно от 1 года (если нет, то обучим); Знание источников привлечения кандидатов; Навык оценки персонала, владение различными инструментами оценки кандидатов; Умение работать в режиме многозадачности, с большим объёмом информации; Коммуникабельность, настойчивость, ответственность, системность, ориентация на результат, умение договариваться, любовь к людям и своей работе, эмоциональная уравновешенность, доброжелательность; Свободное владение казахским и русским языками.",,1–3 года,,https://almaty.hh.kz/vacancy/132741499
Talent Acquisition Manager,,Алматы,ТОО Connectivity Solutions (Коннективити Солюшнз),,"3+ года опыта в HRBP, рекрутинге или гибридной роли Опыт полного цикла IT-рекрутинга Опыт в международных и быстрорастущих компаниях Сильные навыки работы со стейкхолдерами и тимлидами Опыт работы с техническими командами Английский (C1) Организационные и аналитические навыки Сильные коммуникативные и межличностные навыки Будет плюсом: Опыт работы с HR-аналитикой Опыт бюджетирования и финансового планирования в HR Знание трудового законодательства и HR best practices Мы предлагаем: Современный офис в Алматы Качественное рабочее оборудование Медицинская страховка Ежедневные обеды Конкурентная зарплата + годовые бонусы по результатам работы Международная команда Реферальная программа ________________________________________________________  Talent Acquisition Manager  This is a hybrid role combining HR Business Partner (70%) and IT Recruitment (30%), blending strategic HR partnership with hands-on talent acquisition.  Who we are & why we’re hiring: We are a leading SaaS provider helping businesses of all sizes improve customer experience. Our platform includes intelligent routing, IVR, call recording, analytics, and more. As we continue our international growth, we are strengthening our HR team and looking for a professional who can combine HRBP responsibilities with IT recruitment. In this role, you’ll: HR Business Partner (70%) Build strong relationships with leadership and key stakeholders Develop and execute HR strategies aligned with business goals Drive performance management (reviews, development, retention) Coordinate employee onboarding and offboarding Lead HR projects focused on engagement and culture Analyze HR data and improve processes Support L&D initiatives (budgeting, feedback) Ensure compliance with HR policies and best practices Work in a dynamic environment and quickly adapt to change IT Recruitment (30%) Partner with hiring managers to define candidate profiles Manage full-cycle recruitment for technical and business roles Build and maintain talent pipelines Screen, interview and assess candidates, and coordinate interviews Provide market insights on compensation and hiring trends Manage recruitment reporting Qualifications: 3+ years in HRBP, recruitment, or hybrid roles Experience in end-to-end IT recruitment Experience in international and fast-growing companies Strong stakeholder and team lead management skills Experience working with technical teams Fluent English (C1) Strong organizational and analytical skills Excellent communication skills Nice to have: HR analytics experience HR budgeting and financial planning Knowledge of labor law and HR best practices We offer: Modern office in Almaty High-quality work equipment Medical insurance Daily lunch delivery Competitive salary with potential annual performance-based bonuses International team Employee referral program If you are ready to take on this challenge and contribute to a dynamic team, we would love to hear from you!",,,3–6 лет,,https://almaty.hh.kz/vacancy/132792228
Менеджер по кадровому делопроизводству (HR-менеджер),,Алматы,ТОО МФО Kreditflow finance,,"• Высшее образование (предпочтительно по направлению «Управление персоналом», «Психология», «Экономика» или аналогичные специальности). • Опыт работы в сфере HR от 1 до 3 лет. • Знание законодательства Республики Казахстан в области трудовых отношений. • Владение казахским и русским языками — обязательно (устно и письменно). • Уверенное владение ПК, знание Microsoft Office (Word, Excel, PowerPoint). • Хорошие коммуникативные и организаторские навыки. • Ответственность, внимательность к деталям, умение работать с конфиденциальной информацией.","1. Организация и ведение кадрового делопроизводства в компании, включая приём, перевод и увольнение сотрудников. 2. Участие в подборе персонала: размещение вакансий, отбор резюме, проведение собеседований. 3. Обеспечение адаптации новых сотрудников и сопровождение испытательного срока. 4. Ведение учёта рабочего времени, отпусков, больничных листов и прочих кадровых документов. 5. Подготовка и оформление трудовых договоров, дополнительных соглашений и приказов. 6. Контроль за соблюдением трудового законодательства Республики Казахстан. 7. Участие в разработке и внедрении внутренних политик и процедур в области HR. 8. Организация корпоративных мероприятий и поддержание корпоративной культуры. 9. Поддержание эффективного взаимодействия с руководителями подразделений. 10. Подготовка отчётности по персоналу для руководства и государственных органов.",,1–3 года,,https://almaty.hh.kz/vacancy/132233951
HR Administrator,,Нур-Султан (Астана),ТОО Эпирок Центральная Азия,,"The role: Update and maintain accurate HR master data in HR systems (HR:Link) and payroll systems (when applicable). Ensure compliance with legal and regulatory reporting requirements. Promote high standards of data accuracy and confidentiality. Support HR activities across the whole lifecycle: hiring, onboarding, employee data updates, and exit processes. Provide timely and accurate information to employees and managers regarding HR processes. File and maintain HR documentation, ensuring alignment with Epiroc standards and compliance practices. Stay updated on Epiroc's internal HR policies, procedures, and local regulations. Work closely with HR teams at local, regional, and global levels (""One HR"" philosophy). Identify and suggest improvements for HR and payroll processes. Recruitment skills are beneficial. Knowledges: 1) Knowledge of Employment Legislation: - Understanding of labor laws and HR compliance requirements; - Ability to apply legal provisions in daily HR operations; - Awareness of data protection and confidentiality standards. 2) The role requires proficiency in HRIS and reporting tools, such as: - Uses HRIS confidently and accurately; - Generates ad‑hoc reports independently; - Understands workflows in HR systems. 3) The role involves identifying improvement opportunities in HR and payroll processes: - Recognizes inefficiencies and suggests improvements; - Uses root‑cause analysis for recurring issues; - Contributes ideas and initiatives to the local and global HR team. 4) Confidentiality & Integrity: - Strict adherence to data privacy standards; - Ethical handling of employee information; - Discretion in managing sensitive cases. 5) Understanding of Recruitment Processes (beneficial): - Knowledge of the full recruitment cycle (job posting, screening, interviewing, offer stage); - Understanding of internal hiring policies and approval procedures; - Familiarity with employer branding principles. Why Epiroc: Applicants should choose this position because it offers the opportunity to become part of a high‑performing, collaborative, and people‑focused HR function that plays a critical role in Epiroc's success. You will support meaningful HR processes, help create a positive employee experience, and collaborate with colleagues across local, regional, and global HR teams-truly living Epiroc's ""One HR"" philosophy.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132108215
Менеджер по рекрутингу,,Алматы,ТОО Компания ЭВРИКА,,"Нам важно, чтобы человек умел не просто «закрывать задачи», а понимал их логику, цель и ценность для бизнеса. Мы активно растём и развиваемся, расширяем команду — и сейчас ищем HR-специалиста, который усилит направление подбора и адаптации персонала. Что предстоит делать: Вести полный цикл рекрутинга: от формирования портрета кандидата до выхода сотрудника в компанию; Размещать вакансии, обрабатывать отклики, искать кандидатов через карьерные сайты и другие каналы; Проводить телефонные и очные/онлайн интервью, применять методы оценки и тестирования; Взаимодействовать с руководителями подразделений по требованиям к кандидатам; Сопровождать кандидатов на всех этапах подбора и обеспечивать качественный candidate experience; Участвовать в адаптации новых сотрудников: онбординг, обратная связь, поддержка на старте; Вести базу резюме и аналитику подбора, работать с Ханфлоу и Excel; Участвовать в развитии HR-процессов, регламентов и внутренних инициатив; Поддерживать бренд работодателя, участвовать в ярмарках вакансий, стажировках и карьерных мероприятиях; Принимать участие в организации корпоративных мероприятий и тимбилдингов. Мы ожидаем: Опыт в подборе персонала от 2 лет (в том числе экспертные вакансии); Знание современных методов интервью, оценки и подбора; Высшее образование; Умение работать в режиме многозадачности, самостоятельность и ответственность; Навыки делового общения, тайм-менеджмента и поиска нестандартных решений; Уверенная работа с Excel, карьерными платформами; Понимание специфики розницы будет преимуществом; Личные качества: целеустремлённость, внимательность к деталям, гибкость, позитивный настрой. Почему это хорошая возможность Влияние на развитие команды и HR-системы; Возможность профессионального роста и участия в HR-проектах; Сильная команда и поддержка внутри компании.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132675493
Менеджер по управлению персоналом (HRBP),,Астана,ТОО Бюро Инженерного Проектирования,,,"— Построение и развитие HR-стратегии и всех HR-процессов компании — Формирование оргструктуры, управление численностью и фондом оплаты труда — Организация полного цикла подбора, адаптации, онбординга и офбординга — Разработка HR-политик, регламентов и стандартов — Внедрение систем обучения, оценки, управления талантами, грейдирования и мотивации — Развитие корпоративной культуры, внутренних коммуникаций и HR-бренда — Контроль КДП, соблюдения ТК РК, учета в 1С ЗУП Мы ожидаем: — Опыт управления HR-функцией от 3 лет — Системное мышление и ориентация на результат — Знание трудового законодательства РК — Опыт выстраивания HR бизнес процессов Мы предлагаем: — График работы 5/2, современный офис в центре левого берега — Профессиональный рост и развитие — Конкурентную заработную плату",,3–6 лет,,https://almaty.hh.kz/vacancy/132192181
HR-менеджер,500 000 ₸ за месяц,Алматы,ТОО Taler,,"Опыт работы в кадровом делопроизводстве от 2 лет Отличное знание трудового законодательства РК Уверенное владение Word, Excel Обязательное знание программ: 1С (кадры/зарплата) системы кадрового учета и делопроизводства электронный документооборот","Полное ведение кадрового делопроизводства Оформление приема, перевода и увольнения сотрудников Подготовка и ведение трудовых договоров, приказов, дополнительных соглашений Ведение учета отпусков, графиков и кадровых перемещений Формирование и ведение личных дел сотрудников Контроль и ведение кадровой документации в полном объеме Подготовка кадровой отчетности Взаимодействие с бухгалтерией и руководителями подразделений",,1–3 года,,https://almaty.hh.kz/vacancy/132758226
Менеджер по персоналу,,Семей,АО Nordgold,,"Высшее (экономика, управление персоналом, менеджмент); Обязательны знания и опыт работы в следующих направлениях HR (подбор, адаптация, кадровое делопроизводство, управление вознаграждением, обучение, кадровый резерв); Навыки публичных выступлений; Организаторские способности; Навыки командной работы; Компьютерные программы общего назначения: пакет программ Microsoft Office (Word, Excel, Power Point), Интернет, электронная почта; Знание SAP (как преимущество).","Контроль бюджета затрат на персонал в части численности, фонда оплаты труда, резервов, налогов, выплат социального характера и прочих расходов на персонал, проводить план-факторный анализ фактических затрат и утвержденного бюджета; Контроль правильности начисления заработной платы в соответствии с утвержденным фондом оплаты труда, штатным расписанием и системой оплаты труда Общества; Организация работы по подбору, отбору и адаптации персонала. Участие в подготовке предложений по развитию персонала, в составлении индивидуальных планов развития, обучении и повышении квалификации персонала согласно утвержденной концепции; Организация работы по оценке профессиональных навыков и компетенций персонала основных производственных подразделений; Организация проведение кадровых комитетов и подготовку информации к ним; Разработка и контроль исполнения мероприятий по повышению уровня удовлетворённости персонала по результатам ежегодного опроса мнений работников; Организация регулярные информационные встречи с сотрудниками.",,3–6 лет,,https://almaty.hh.kz/vacancy/132598513
HR-менеджер,от 500 000 ₸ за месяц,Астана,ИП SAPASHEV,,,"⁠осуществлять поиск и подбор персонала; проводить собеседования; заниматься адаптацией, обучением и развитием сотрудников; ⁠разрабатывать и реализовывать мероприятия по развитию и поддержанию корпоративной культуры; ⁠организовывать корпоративы. Что нужно знать и уметь: быть хорошим внутрикомом; ⁠знать методики поиска и подбора персонала; уметь оценивать потенциал и личные качества кандидатов; знать трудовое законодательство РК; ⁠плюсом будет опыт ведения документооборота; быть позитивным и активным.",,1–3 года,,https://almaty.hh.kz/vacancy/132604084
Менеджер по подбору массового персонала,от 80 000 до 150 000 ₽ за месяц,Алматы,ООО ЛЕРТЕКО-ГРУПП,,Рассматриваем кандидатов в аналогичной должности в подборе персонала; Пользователь ПК - MS Office Понимание особенностей массового подбора персонала.,"Массовый подбор и поиск сотрудников; Размещение вакансий, работа с откликами, холодный поиск; Контроль кандидатов до России; Организация транспортировки вахтовиков в РФ - составление маршрута; Работа в CRM: Битрикс24; Выполнение ежемесячного плана по подбору персонала.",,1–3 года,,https://almaty.hh.kz/vacancy/132571326
HR-менеджер,от 300 000 до 500 000 ₸ за месяц,Астана,ИП QM,,Знание казахского и русского языков; Опыт работы в сфере HR/рекрутинга; Знание методов поиска и привлечения кандидатов; Коммуникативные и оценочные навыки; Способность эффективно вести множество задач одновременно; Ответственность и ориентированность на результат.,"Поиск, привлечение и оценка потенциальных кандидатов; Участие в построении системы работы отделов; Введение отчетности по сотрудникам; Проведение телефонного интервью; Проведение собеседований и оценка профессиональных навыков, опыта и потенциала кандидатов; Документооборот; Поддержка и участие в процессе оформления документов и интеграции новых сотрудников.",,1–3 года,,https://almaty.hh.kz/vacancy/132619723
Менеджер номерного фонда/Rooms Division Manager,,Астана,ТОО Sheraton Astana Hotel,,"Менеджер Room Operations (Front Office / Housekeeping) Sheraton Astana Hotel | Marriott International Описание должности Мы ищем инициативного и ориентированного на сервис профессионала, который будет оказывать поддержку в управлении операционной деятельностью подразделений room-блока (Front Office, Housekeeping) и участвовать в управлении командой. Цель роли — обеспечивать высокий уровень удовлетворённости гостей и сотрудников, поддерживать стандарты Marriott International и способствовать достижению финансовых показателей департамента. Обязанности Руководство командой Room Operations Обеспечение понимания целей по удовлетворённости гостей и эффективности работы. Формирование мотивирующей и командной рабочей среды. Анализ результатов удовлетворённости гостей/сотрудников, разработка планов улучшений. Поддержка развития компетенций сотрудников. Личный пример уверенности, профессионализма и клиентоориентированности. Помощь команде в понимании потребностей гостей и превосходстве их ожиданий. Управление ежедневными операциями Поддержка операций Front Office, Housekeeping. Следование планам реагирования и восстановления сервиса. Публикация результатов удовлетворённости гостей, обработка отзывов. Взаимодействие с сотрудниками по оперативным вопросам. Обучение команды планированию графиков с учетом загрузки. При необходимости выполнение обязанностей линейных сотрудников. Контроль качества сервиса Поддержание стандартов сервиса бренда Marriott. Открытость и доступность для гостей. Проактивное решение вопросов и жалоб. Вежливое и профессиональное общение. Контроль соответствия сотрудников стандартам гостеприимства. Финансовая эффективность Участие в ежегодном аудите качества. Контроль программы безопасности ключей. Анализ финансовых и операционных показателей. Поиск возможностей оптимизации затрат и повышения рентабельности. Управление HR-процессами Проведение собеседований, участие в принятии решений о найме. Своевременное введение новых сотрудников в должность. Получение и анализ обратной связи, решение вопросов сотрудников. Контроль соблюдения политик и процедур Marriott. Признание достижений и вкладов сотрудников. Требования к кандидату Образование и опыт: Среднее образование (аттестат/GED) и 4 года опыта в гостевом сервисе, на ресепшене, в Housekeeping или смежной сфере. Мы предлагаем Работа в международной гостиничной сети Marriott International. Возможности профессионального и карьерного роста. Обучение, доступ к корпоративным платформам и программам развития. Дружную и поддерживающую команду. Конкурентный компенсационный пакет. Питание. Развозка.",,,3–6 лет,,https://almaty.hh.kz/vacancy/128673246
Специалист по подбору персонала,от 200 000 ₸ за месяц,Алматы,ТОО Crown Star,,Опыт работы в подборе персонала от 1 года (желательно в HoReCa) Умение работать с сайтами по поиску работы Коммуникабельность и грамотная речь Организованность и ответственность Умение быстро закрывать вакансии Навыки проведения интервью,Поиск и подбор персонала (линейный и административный персонал) Размещение вакансий на job-площадках Обработка откликов и активный поиск кандидатов Проведение телефонных и очных интервью Сопровождение кандидатов до выхода на работу Взаимодействие с руководителями подразделений Ведение базы кандидатов и отчетности,,1–3 года,,https://almaty.hh.kz/vacancy/132677496
Менеджер по подбору персонала,от 350 000 до 450 000 ₸ за месяц,,ООО МК Стройгрупп,,,"Подбор персонала, консультация клиентов, телефонные переговоры",,не требуется,,https://almaty.hh.kz/vacancy/132005048
Менеджер по подбору персонала,от 250 000 до 600 000 ₸ за месяц,Алматы,ТОО АГЕНТСТВО НЕДВИЖИМОСТИ LEGENDA,,"Legenda — это современное агентство недвижимости, которое помогает клиентам уверенно и безопасно проводить сделки с жильём. Компания специализируется на покупке, продаже и аренде недвижимости, предлагая полный цикл услуг — от подбора объектов до юридического сопровождения. 🎯 Задачи Полный цикл подбора персонала (от снятия заявки до оффера) Работа с различными каналами поиска (hh, соцсети и др.) Проведение интервью (оффлайн) Оценка кандидатов Взаимодействие с нанимающими менеджерами Ведение базы кандидатов и отчетности  ✅ Требования Опыт в подборе персонала от (1 года ) Навыки проведения интервью Умение работать с большим потоком кандидатов Хорошие коммуникативные навыки Знание инструментов поиска . 💡 Будет плюсом Опыт подбора в сфере недвижимости/ продажи / массовый подбор. Опыт работы с Google таблицами 💼 Условия Формат работы: офисный График: 5/2 с 9:30 до 18:00 Заработная плата: от 250 000 до 600 000 (проговаривается на собеседовании) Бонусы за закрытие вакансий. Дружная команда 🙂 Ищем рекрутера, который любит людей и умеет находить “тех самых” кандидатов. 📩 Откликайтесь прямо сейчас, мы смотрим резюме каждый день и отвечаем сразу. С уважением, Виктория, HR-специалист Legenda. Буду рада познакомиться с вами!",,,1–3 года,,https://almaty.hh.kz/vacancy/132613254
Hr-менеджер,от 250 000 до 300 000 ₸ за месяц,Алматы,ИП Ысмайыл,,Умения находить подход к людям; Отличный навыки общения; Стрессоустойчивость,Подбор персонала; Адаптация сотрудников; Развитие и обучения персонала;,,не требуется,,https://almaty.hh.kz/vacancy/132689372
HR-менеджер,от 350 000 до 400 000 ₸ за месяц,Нур-Султан (Астана),ТОО SMARTAPPS,,"Владение творческим мышлением, аналитическим умом, долговременной и оперативной памятью, а также устойчивым вниманием и наблюдательностью. Знание трудового законодательства и требования иных актов, содержащих нормы трудового права; Знание основ документооборота и документационного обеспечения; Знание структуры организации; Знание технологий, методов и методик проведения анализа, а также систематизации документов и информации; Знание базовых основ информатики; Знание основ психологии человека.","Проведение набора, отбора и оценки соискателей. Проведение собеседований с кандидатами. Умение составлять профессиограмму на каждое отдельное вакантное место, то есть хорошо знать какими личностными и профессиональными качествами должен обладать претендент на ту или иную должность. Планирование потребностей в персонале на ближайшее время и в перспективе, создание резерва сотрудников, а также оперативный поиск нужных специалистов. Знание трудового законодательства, основ делового общения, работы с документами и грамотной как устной, так и письменной речи. Составление и оформление трудовых договоров, контрактов и соглашений, формирование и учет личных дел сотрудников. Разработка программы по развитию персонала, планированию деловой карьеры, обучению и повышению квалификации кадров, а также в оценке эффективности обучения. Организация программ стажировки, обучения, повышения квалификации, аттестации работников, разработка, организация и проведение тренинговых, социальных программ. Принятие участие в работе по адаптации вновь принятых работников к производственной деятельности. Мотивация сотрудников компании, нахождение индивидуального подхода к ним. Осуществление контроля за соблюдением правил внутреннего распорядка предприятия, принятие участия в разрешении трудовых конфликтов и споров. Наблюдение за рынком труда, владение информацией о сложившейся ситуации с кадрами, средней заработной плате на рынке и информирование об этом руководство. Оформление командировок, проведение корпоративов, закуп в офис печенек.",,1–3 года,,https://almaty.hh.kz/vacancy/132057807
HR-менеджер,от 200 000 до 400 000 ₸ за месяц,Кокшетау,ЭТАЖИ (ИП Привальцев А.А.),,"Ищем активного HR-менеджера / рекрутера (26–35 лет) Хочешь работать с людьми, влиять на команду и расти в доходе? Тогда тебе к нам! 🔥 Чем будешь заниматься: • Поиск и привлечение кандидатов • Проведение звонков и собеседований • Помощь новичкам в адаптации • Участие в развитии команды и корпоративной жизни 📌 Мы ищем тебя, если ты: • Активный(ая), общительный(ая) и инициативный(ая) • Быстро ориентируешься и любишь работать с людьми • Хочешь развиваться и зарабатывать больше 💰 Что ты получишь: • Доход: фикс + бонусы (в среднем 200 000₸, рост до 400 000₸+) • График 5/2 с 9:00 до 18:00 • Обучение с нуля и поддержка наставника • Карьерный рост • Дружную, энергичную команду ✨ Важно: это НЕ кадровое делопроизводство — у нас живое общение и динамика! Хочешь развиваться, влиять на свой доход и работать в сильной команде? Пиши или звони — будем рады познакомиться!",,,не требуется,,https://almaty.hh.kz/vacancy/132127456
Помощник HR специалиста,от 300 000 до 500 000 ₸ за месяц,Алматы,ТОО KazBuildExpert,,"Коммуникабельность; Инициативность; Самостоятельность; Высокий уровень компетенции; Пунктуальность, ответственность;","Ведение делопроизводства и профессиональной учетно-отчетной документации; Рекрутинг (размещение вакансий, подбор претендентов, сбор и проверка всех необходимых документов); Оформление приема, перевода, увольнения, регистрация и учет кадров; ведение ЭТД, формирование личных дел и карточек, ведение всех внутренних кадровых документов, оформление командировок; Ведение табелей учета рабочего времени (до 50 сотрудников); Разработка инструкций, корпоративных стандартов, локальных актов, регулирующих деятельность персонала; Взаимодействие с сотрудниками по сбору подписей, уведомлениям, рассылке.",,3–6 лет,,https://almaty.hh.kz/vacancy/132802222
Рекрутер/Специалист по подбору персонала,,Алматы,ТОО Elite Business Group,,"Elite — кадровый холдинг с 28-летней историей на рынке Казахстана. Мы работаем с крупными казахстанскими и международными компаниями и помогаем им находить сильных специалистов, управленцев и экспертов. Сейчас мы ищем Рекрутера, который хочет не просто закрывать вакансии, а развиваться в профессии и расти до уровня тимлида. Что предстоит: Работать с разными направлениями и позициями — от специалистов до топов Проводить интервью, формировать точные профайлы и представлять кандидатов клиенту Сопровождать кандидатов на финальных этапах и при адаптации Участвовать во внутренних HR-проектах компании Что важно: Опыт работы в подборе персонала от 1 года Уверенная коммуникация, умение выстраивать доверие Ответственность, самостоятельность и ориентация на результат Что предлагаем: Прозрачный карьерный трек — рост до тимлида с расширением задач и дохода Работа в команде, где поддерживают инициативу и профессиональное развитие Возможность учиться у практиков и участвовать в проектах, которые реально влияют на бизнес Гибкий подход к доходу: фикс + бонус за результат Офис в центре Алматы (ул. Кабанбай Батыра, 109), график 5/2 Если тебе важно расти профессионально, видеть результат своей работы и быть частью команды, где ценят развитие — присоединяйся к Elite.",,,1–3 года,,https://almaty.hh.kz/vacancy/129236513
Менеджер по подбору персонала / Рекрутер,от 400 000 до 550 000 ₸ за месяц,Алматы,ТОО Jet Finance (ТОО Mogo Kazakhstan),,"• Опыт работы рекрутером от 2 лет; • Знание казахского и русского языков (обязательно); • Опыт закрытия вакансий разного уровня (mass и точечный подбор); • Навыки проведения интервью и оценки компетенций; • Проактивность, ответственность, ориентация на результат. Мы предлагаем: • Официальное трудоустройство и оплачиваемый отпуск 28 календарных дней; • Комфортный график 5/2 с 9:00 до 18:00 или с 10:00 до 19:00. То, что делает работу круче: • Мнооого тимбилдингов и весёлых событий: походы в горы, тематические дни и корпоративные активности; • Возможности карьерного роста для тех, кто показывает отличные результаты; • Поддержка в развитии: покрытие обучения и курсов; • Финансовая поддержка в важные моменты жизни; • Ментор, который поможет адаптироваться и быстрее войти в работу; • Прозрачная и открытая корпоративная культура — твоё мнение действительно важно. Скорее отправляй резюме, и до встречи на собеседовании!",• Полный цикл подбора персонала; • Составление и размещение вакансий на различных площадках; • Активный поиск кандидатов; • Проведение интервью и оценка кандидатов; • Взаимодействие с нанимающими менеджерами; • Ведение базы кандидатов и отчетности по подбору; • Сопровождение кандидатов на всех этапах найма.,,1–3 года,,https://almaty.hh.kz/vacancy/132287853
