title,salary,city,job,publish_date,requirements,responsibilities,url,source
Senior Frontend Developer в Kaspi Delivery Team (в офисе),,,,,,"Senior Frontend Developer в Kaspi Delivery Team (в офисе) Быстрый отклик АО ""Kaspi Bank"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Абая, 26А РЕКЛАМА Описание вакансии Kaspi Delivery Team — ядро логистики Kaspi.kz. Мы помогаем доставлять сотни тысяч заказов ежедневно: строим экосистему для курьеров, складов и внутренних логистических процессов, чтобы клиенты по всему Казахстану получали заказы быстро и вовремя.  Чем предстоит заниматься: ● Развивать веб-сервисы и приложения для курьеров и складов (Vue/Nuxt). ● Поддерживать и улучшать существующие проекты, повышать надёжность и скорость. ● Участвовать в архитектурных решениях (модульность, performance). ● Проводить code review, менторить, улучшать инженерные практики. ● Работать над продуктовыми задачами, измеримыми метриками (время доставки, SLA UI). ● Проактивно предлагать улучшения UX/качества/производительности.  Технологии, с которыми работаем ● Frontend: Vue 2/3, Nuxt, TypeScript, Pinia/Vuex, Vite/Webpack. ● Качество: ESLint/Prettier, Vitest/Jest, Cypress, Storybook. ● Производительность и наблюдаемость: Web Vitals, Lighthouse, Sentry. ● Карты и гео: Yandex Maps, GeoJSON, Turf/JSTS. ● Инфраструктура: GitLab, CI/CD, Docker. Мы ожидаем ● 2+ года коммерческой разработки на Vue или React. ● Отличное знание JavaScript/TypeScript. ● Уверенная работа с системой контроля версий (ветвления, code review). ● Внимание к качеству: тесты, производительность, безопасность. ● Умение читать техдокументацию на английском.  Будет плюсом ● Nuxt 3/SSR/ISR, Node.js/NestJS для BFF. ● Оптимизация высоконагруженных интерфейсов (виртуализация, workers, кеши). ● Webpack/Vite продвинутая настройка, Docker, понимание CI/CD. ● Опыт с геоданными/картами, офлайн-режимами (PWA), трекингом.  Как мы работаем ● Короткие итерации (2 недельные спринты), понятный релизный цикл. ● Code review, дизайн-система, общие компонентные библиотеки. ● Продуктовый подход: гипотезы, метрики, A/B-тесты (если применимо).​​​​​  Что предлагаем ● Возможность работать в лучшей e-commerce компании Казахстана, создавая продукты, которые обеспечивают доставку заказов для миллионов клиентов и которыми ежедневно пользуются тысячи наших курьеров и сотрудников складов. ● Сильная команда и культура обмена знаниями (менторство, внутренние митапы). ● Свобода действий и ответственность за результат. ● Гибкий график (начало рабочего дня, частичная удаленка), комфортное оборудование. ● Курсы английского, обучение, годовой бонус. Требования Опыт	Более 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Быстрый отклик Отклик на HeadHunter",https://qyzmet.kz/redir?id=20605382,hh_parser_qyzmet_Frontend.csv
Frontend-разработчик,,,,,,"Frontend-разработчик We Make Зарплата	от 85000 до 130000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, микрорайон Таугуль, улица Рыскулбекова, 28/8 РЕКЛАМА Описание вакансии  Junior Web-специалист / Web-assistant Dejavu Studio  О компании  Dejavu Studio — digital-агентство. Наша специализация — продающие сайты, заточенные под Google Ads и Яндекс Директ. Мы делаем сайты как инструмент продаж и аналитики, а не просто «красивые страницы».  Кого мы ищем  Мы ищем джун-специалиста, который не боится учиться, брать на себя ответственность и расти.  Опыт от 3 месяцев  Основные задачи  Поддержка текущих сайтов (проверка, правки, стабильность) Вёрстка лендингов и мультилендингов Создание различных вариантов страниц Работа с Tilda, WordPress, Joomla Администрирование хостинга ps.kz Поддержка проектов на Next.js (без сложной разработки) Вёрстка по Figma, понимание адаптивности Подключение доменов, почты, Telegram-уведомлений Тестирование страниц и форм  Аналитика и конверсии  Подключение базовых конверсий через Google Analytics и Яндекс Метрику Работа с Google Tag Manager Google Search Console Яндекс Вебмастер Работа с инструментами A/B-тестирования  Базовая аналитика и конверсии осваиваются достаточно быстро — всему необходимому обучаем в процессе.  Требования  Идеально владение русским языком Базовые знания HTML / CSS Базовые знания JavaScript Понимание принципов адаптивной вёрстки Умение работать по макетам Figma Инициативность и желание учиться Ответственность за результат  Условия  Адекватное руководство Без переработок по вечерам и в выходные Полноценный отдых во все праздничные дни Рост задач и зарплаты по мере развития Реальные проекты и практический опыт  Для быстрого ответа пишите в телеграм или whatsapp Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636713,hh_parser_qyzmet_Frontend.csv
Frontend developer,,,,,,"Frontend developer Зарплата	Договорная Адрес	Астана, ул. Сарайшык, 5П РЕКЛАМА Описание вакансии Требования и обязанности:  Работы по проекту в телеграмме mini ap, реакт сборщик на vite  Требования Опыт	От 3 до 6 лет Условия работы График работы	Сменный график Добавлено 2 дня назад Пожаловаться Отклик на jumys.kaspi.kz Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/jobdesc?id=20639029&src=js,hh_parser_qyzmet_Frontend.csv
Архитектор IT-инфраструктуры,,,,,,"Архитектор IT-инфраструктуры Зарплата	Договорная Адрес	Астана, ул. Е-900, 10 РЕКЛАМА Описание вакансии Требования и обязанности:  Frontend разработчик  Требования Опыт	Нет опыта Условия работы График работы	Неполный день Добавлено вчера Пожаловаться Отклик на jumys.kaspi.kz Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/jobdesc?id=20647285&src=js,hh_parser_qyzmet_Frontend.csv
Full-Stack Developer (Python / TypeScript),,,,,,"Full-Stack Developer (Python / TypeScript) Meteoro Platform Занятость	Полная занятость Адрес	Казахстан, Астана РЕКЛАМА Описание вакансии  О роли  Мы ищем Middle/Middle+ Full-Stack разработчика: вы уверенно работаете и с backend, и с frontend, и берёте задачи end-to-end — от требований до прода.  Для нас это действительно full-stack роль 50/50: в зависимости от задач продукта вы одинаково уверенно включаетесь как в backend-, так и во frontend-разработку.  Ваши суперспособности  3+ года в продуктовой разработке: проектируете и выкатываете в прод backend/full-stack фичи Сильный Python: FastAPI, async, Pydantic, SQLAlchemy/asyncpg, строгая типизация (mypy/pyright), pytest Уверенный TypeScript/React: знакомы с современным стеком (Vite, TanStack Query/Router, shadcn, Tailwind, react-hook-form, Zod, i18n) Пишете чистый, тестируемый и поддерживаемый код — тесты для вас часть нормы Уверенно работаете с SQL/NoSQL: PostgreSQL, Redis/Valkey Есть опыт с Kafka или другими брокерами сообщений и очередями Знаете Docker и CI/CD; уверенно работаете с Kubernetes Применяете observability на практике: метрики, логи, трейсы — Grafana, Jaeger, OpenTelemetry Понимаете, как устроены API-гейтвеи (APISIX, Kong, Traefik или аналоги) и умеете с ними работать Понимаете архитектурные подходы и компромиссы между ними: event-driven, CQRS, clean/hexagonal, модульный монолит vs микросервисы Есть опыт с разными типами API: REST, WebSocket, SSE/streaming, gRPC — понимаете, что и когда уместно Есть опыт работы с API современных LLM и его нюансами: токены и контекст, стриминг, ретраи, лимиты, ошибки, prompt caching, structured outputs, tool calling В ежедневной работе на продвинутом уровне используете SWE-агентов и Agent Harness (Claude Code, Codex, OpenCode, Pi и др.) Берёте ownership: ведёте задачу end-to-end — от требований до прода, проактивно снимаете блокеры Обладаете инженерным мышлением: видите компромиссы, быстро разбираетесь в новом и доводите до практики Думаете про пользователя и метрики; общаетесь по делу  Что вы будете делать  Разрабатывать и выкатывать в прод backend-сервисы и API на Python/FastAPI, на которых работает продукт Разрабатывать и развивать frontend-часть продукта на React/TypeScript Брать задачи end-to-end: от требований до прода, включая backend и frontend Проектировать и поддерживать ядро системы: бизнес-логика, интеграции, событийные пайплайны (Kafka), кеши, фоновые задачи, хранилища (S3) Работать с AI/LLM-функциональностью продукта: интеграции с провайдерами, агентные пайплайны, tool use, structured outputs Следить за стабильностью и observability: метрики, трейсы, алерты, разбор инцидентов Плотно сотрудничать с product, ML и инженерной командой, чтобы и UX, и DX были гладкими и предсказуемыми Участвовать в архитектурных решениях и формировании технического направления по мере роста продукта Быстро доводить идеи от прототипа до продакшена, с ответственностью за качество и надёжность  Будет плюсом  Знание Rust (хотя бы на базовом уровне) Hands-on опыт с OIDC/OAuth2-провайдерами: ZITADEL, Keycloak, Auth0, Okta или аналогами Опыт с LLM-фреймворками: LangChain/LangGraph, LlamaIndex, Mastra, DSPy, Pydantic AI и т.п. Понимание внутреннего устройства современных агентов и агентных систем: Agent Loop, эффективная работа с контекстом и context engineering, tool use, prompt caching, structured outputs, MCP, Agent Harness Опыт с RAG не только на векторном поиске: BM25, fuzzy, гибридный поиск, agentic search Собственные pet-проекты и эксперименты с AI/LLM Вклад в open-source Образование в CS или смежной области  Условия и бонусы  Конкурентная зарплата 25 дней отпуска, дополнительные выходные дни и больничный Гибкие варианты работы: удалённо или гибридно Возможности для профессионального и карьерного роста Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635288,hh_parser_qyzmet_Frontend.csv
Бэкэнд разработчик,,,,,,"Бэкэнд разработчик Институт Космической Техники и Технологии Зарплата	от 500000 до 650000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, Кисловодская, 34 РЕКЛАМА Описание вакансии Обязанности:  Разработка и поддержка серверной части веб- и мобильных приложений (REST / gRPC API); Проектирование и оптимизация структуры баз данных (PostgreSQL, при необходимости Redis для кеширования); Создание и документирование REST API / OpenAPI (Swagger); Интеграция с внешними сервисами (через REST, WebSocket, Message Queue) и внутренними системами; Оптимизация производительности и безопасности backend-части; Участие в проектировании архитектуры, выборе технологий, постановке задач и код-ревью; Написание юнит-, интеграционных и e2e-тестов (xUnit, NUnit, Google Test и др.); Взаимодействие с DevOps-командой при деплое контейнеризированных приложений (Docker, Kubernetes).  Требования:  Опыт коммерческой разработки от 2 лет (уровень Middle, возможно Strong Junior при уверенных знаниях); Уверенное владение C# (.NET 6/7/8) и C++ (17/20); Опыт работы с PostgreSQL, понимание индексов, транзакций, оптимизации запросов; Понимание принципов REST, JWT, OAuth2, микросервисной архитектуры; Опыт работы с Docker, Git, понимание CI/CD процессов (GitHub Actions, GitLab CI, Jenkins); Навык написания чистого, поддерживаемого и тестируемого кода.  Будет плюсом:  Опыт работы с Redis, RabbitMQ или Kafka; Опыт построения асинхронных/реактивных систем; Знания в области Frontend-разработки (Vue.js, React) — для взаимодействия с фронтенд-командой; Понимание принципов Domain-Driven Design (DDD), Clean Architecture; Опыт работы с облачными платформами (AWS, Azure, Yandex Cloud).  ​​​​​​  Условия:  График: 5/2, 8:00–17:00 обед 12:00-13:00; Современный стек технологий и реальные проекты (API, интеграции, аналитика и т.д.); Дружная команда и адекватное руководство 🙂; Заработная плата — по результатам собеседования, в зависимости от опыта; Возможность профессионального роста и участия в архитектурных решениях.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20643140,hh_parser_qyzmet_Frontend.csv
"Frontend middle программист/разработчик (Vue2,3)",,,,,,"Frontend middle программист/разработчик (Vue2,3) Быстрый отклик ТОО ""okTrening"" Зарплата	от 200000 до 250000 KZT Занятость	Полная занятость Адрес	Казахстан, Шымкент, улица Турар Рыскулова, 49/2 РЕКЛАМА Описание вакансии  В нашу дружную команду профессионалов разыскивается опытный Front Разработчик  Работа связана с совершенствованием нашего веб сервиса jobtron.org— это HRM веб-сервис сотрудников. Сервису уже более 5 лет, а нашей компании с другими продуктами более 14 лет в общем, а количество сотрудников уже более 300+ и работают они в Казахстане, России, Киргизии и Узбекистане. Наши клиенты это компании крупного и среднего бизнеса, банки, интернет магазины и фарм компании.  Так как сейчас мы расширяем функционал нашего сервиса и поставлено много задач, нам требуются дополнительно разработчики на постоянную работу в нашей команде.  2. Нам нужен и опытный разработчик, устремленный к успеху специалист, который будет знать:  vue.js - 2, rest api, bootstrap, HTML, CSS связка с laravel, и выполнять самостоятельно задачи по внедрению нового функционала в наш веб-сервис.  .  3. Вам нужно будет попунктно выполнять задачи по разработки функционала, так же тестировать, выявлять баги и устранять их, достигая поставленных компанией целей по разработке.  4. Мы ищем усидчивого специалиста который будет путем ежедневной работы достигать поставленную цель на месяц, цель на полугодие и цель на год. Готового преодолевать сложности в разработке и учится новому. И который будет нацелен работать в нашей компании долгий срок: 2 года, 3 года или больше пяти лет, или же до пенсии , в том числе, ;)  Также наши сотрудники проходят постоянное обучение на базе нашей платформы, у Вас есть возможность несколько раз в год проходить индексацию оплаты, и зарабатывать более высокую оплату. Ну а если Вы очень вовлеченный сотрудник, то мы всегда рады будем Вам предложить более высокую должность.  Откликайтесь и мы Вас пригласим на стажировку.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Удаленная работа Посмотреть контакты Добавлено 2 дня назад Пожаловаться Быстрый отклик Отклик на HeadHunter",https://qyzmet.kz/redir?id=20557592,hh_parser_qyzmet_Frontend.csv
Back-end разработчик,,,,,,"Back-end разработчик Мэд Профит Групп Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Абая, 24/1 РЕКЛАМА Описание вакансии  Локация: Казахстан (удалённо / офис / гибрид) Зарплата: по результатам собеседования (фикс + бонусы за проекты)  Кого мы ищем: Ищем Back-end разработчика, который умеет создавать надёжную серверную часть для сайтов и web-сервисов любой сложности: высоконагруженных проектов и интеграций.  Обязанности: - Разработка серверной логики сайтов и web-приложений - Проектирование архитектуры backend-части - Работа с базами данных (проектирование, оптимизация, миграции) - Интеграции с внешними сервисами (CRM, платежные системы, API) - Разработка и поддержка REST API - Обеспечение безопасности и производительности проектов - Участие в код-ревью и улучшении архитектуры - Взаимодействие с frontend-разработчиками, дизайнерами и проект-менеджерами - Поддержка и доработка существующих проектов  Требования: - Опыт разработки от 2 лет (backend) - Уверенное знание одного или нескольких языков: PHP / Python / Node.js - Опыт работы с фреймворками: Laravel / Symfony / Django / Express (или аналогичные) - Знание и опыт работы с БД: MySQL / PostgreSQL / MongoDB - Понимание принципов построения REST API - Опыт интеграции сторонних сервисов (CRM, платежи, API) - Понимание принципов безопасности (JWT, OAuth, защита данных) - Опыт работы с Git - Базовое понимание frontend (HTML, CSS, JS) - Умение писать чистый, поддерживаемый код  Будет плюсом: - Опыт работы с 1С-Битрикс, WordPress (backend часть) - Опыт настройки серверов (Linux, Nginx, Docker) - Опыт работы с очередями (RabbitMQ, Redis) - Опыт оптимизации высоконагруженных систем - Понимание CI/CD процессов  Условия: - Интересные проекты разного уровня сложности - Возможность работать с современным стеком - Гибкий график и удалёнка - Команда без бюрократии и лишних созвонов - Возможность роста до Lead / Architect  Присылай резюме + примеры проектов (GitHub / кейсы) на [WhatsApp]  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635384,hh_parser_qyzmet_Frontend.csv
Full-Stack Developer (Middle),,,,,,"Full-Stack Developer (Middle) Jana Post Занятость	Полная занятость Адрес	Казахстан, Алматы, Наурызбайский район, микрорайон Калкаман-3, улица Каракулова, 40 РЕКЛАМА Описание вакансии  Jana Post развивает международные логистические решения и усиливает команду. Ищем Middle Full-Stack Developer, который будет участвовать в разработке и развитии новых, ключевых сервисов компании.  Чем предстоит заниматься:  Разработка и поддержка frontend-компонентов на Vue.js; Проектирование, разработка и тестирование backend-сервисов на Java / Spring Boot; Создание и интеграция RESTful API; Работа с базами данных (PostgreSQL / MySQL), оптимизация SQL-запросов; Проведение code review и подготовка технической документации;  Требования (Must have):  Коммерческий опыт 3–5 лет в разработке (fullstack / backend / frontend); Уверенное знание Vue.js (Vue 2/3, Vuex/Pinia, Vue Router); Уверенное знание Java + Spring Boot (Spring MVC, Spring Security); Опыт разработки и интеграции RESTful API; Опыт работы с SQL базами данных (PostgreSQL или MySQL); Понимание Git и CI/CD (Jenkins / GitLab CI); Знание HTML5, CSS3, JavaScript (ES6+); Английский на уровне чтения технической документации (Intermediate+);  Nice to have  Опыт работы с Docker; Опыт работы в Agile/Scrum командах; Умение проводить code review и делиться знаниями; Опыт работы с AI-инструментами для разработки (Claude CLI, Codex CLI, Cursor и др.); Навыки самостоятельного принятия технических решений;  Мы предлагаем:  График 5/2, с 9:00 до 18:00, офис в Алматы (пересечение Шаляпина/Ашимова); Прямое влияние на продукт: ваши решения отражаются на бизнес-показателях компании; Участие в международных проектах в сфере логистики и e-commerce; Быстрое принятие решений, минимум бюрократии; Реальные возможности карьерного и профессионального роста; Углубленное развитие технической экспертизы за счет участия в продуктовых решениях; Обучение и развитие в рамках корпоративной стратегии; Динамичная команда, сильная корпоративная культура и регулярные мероприятия за счёт компании; Корпоративная скидка в Invictus GO, корпоративные завтраки;  Если вы соответствуете требованиям и заинтересованы в развитии в рамках данной роли, будем рады вашему отклику.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20634959,hh_parser_qyzmet_Frontend.csv
Руководитель группы разработки / Team Leader,,,,,,"Руководитель группы разработки / Team Leader TS Property Management Занятость	Полная занятость Адрес	Казахстан, Алматы, микрорайон Самал-2, 111 РЕКЛАМА Описание вакансии  Уважаемый соискатель!  Если Вы человек, который быстро думает и быстро делает, не ждет задач, а предлагает решения, умеет работать в условиях изменений с высоким уровнем ответственности за результат.  Мы ищем Junior Team Lead или сильный middle/senior  Просим откликаться на указанную вакантную должность, при условии соответствия заявленным требованиям направив сопроводительное письмо, указав Ваши ожидания по оплате.  Обязанности:  Опыт в разработке (любой стек — важнее мышление) Понимание full stack (или готовность быстро разобраться) Умение разбираться в чужом коде и системах Построение архитектуры новых систем. Обеспечение своевременной поставки задач и качества продукта Взаимодействие с бизнесом и другими подразделениями (продукт, маркетинг, операционные команды)  Требования:  Опыт разработки (от 2-х лет) Умение выстраивать архитектуру и жизненный цикл разработки, балансировать между бизнес-задачами и техническими решениями Сильный в коммуникации Умение брать ответственность за результат Умение работать с универсальными лидами Backend язык + Frontend (уровень не менее middle) Условия: график работы 5/2, с 09:00 до 18:00 (оффлайн в офисе) стабильная оплата труда официальное трудоустройство в соответствии с ТК РК Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648832,hh_parser_qyzmet_Frontend.csv
Специалист по развитию сайта (Web Growth / IT),,,,,,"Специалист по развитию сайта (Web Growth / IT) ТОО ""Астра-дент"" Зарплата	от 500000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Абая, 58а Описание вакансии  Мы ищем специалиста, который будет не просто поддерживать сайт, а развивать его как инструмент продаж и роста бизнеса.  Основной функционал:  1. Развитие и поддержка сайта  Доработка функционала, интеграции, стабильная работа сайта Оптимизация скорости и технического состояния  2. Аналитика и рост эффективности  Настройка и анализ Google Analytics / Яндекс Метрики Контроль KPI: конверсия, поведение пользователей Формирование и внедрение гипотез для роста  3. UX/UI улучшения  Улучшение структуры и удобства сайта A/B тестирование и оптимизация под мобильные устройства  4. Интеграции и автоматизация  Работа с CRM (Bitrix24), платежными системами, API Синхронизация данных (заказы, клиенты, остатки)  5. Работа с 1С и обменом данными  Поддержка и контроль интеграции сайт ↔ 1С Обеспечение корректного обмена данными (каталог, заказы, остатки  6. Поддержка внутренних IT-систем  Обеспечение стабильной работы внутренних цифровых сервисов компании Решение текущих задач от руководства, связанных с IT-инфраструктурой Участие в настройке и оптимизации внутренних процессов (CRM, доступы, сервисы) Взаимодействие с подрядчиками и контроль выполнения технических задач Требования Опыт работы с сайтами (frontend / backend на базовом уровне) Практический опыт работы с 1С и понимание интеграции с веб-системами Навыки работы с аналитикой (GA, Метрика) Понимание UX/UI и логики пользовательского поведения Ключевая задача роли  Превратить сайт в стабильный канал продаж, а не просто витрину  Что важно Ориентация на результат, а не на “процесс” Умение видеть узкие места и предлагать решения Самостоятельность в задачах Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20640680,hh_parser_qyzmet_Frontend.csv
Senior Android-разработчик,,,,,,"Senior Android-разработчик Аикб Ипак Йули Банк Занятость	Полная занятость Адрес	Казахстан, Ташкент, Алмазарский район, Малая кольцевая дорога, 76 РЕКЛАМА Описание вакансии  Для работы над frontend'ом мобильного приложения Ipak Yo’li Mobile мы ищем Android-разработчика (Middle/Senior)  Ipak Yo’li Mobile - это не просто еще одно банковское приложение. Оно занимает 2-е место в рейтинге Markswebb за 2024 год, и мы стремимся к вершинам как по функционалу, так и по количеству активных пользователей.  Мы предлагаем конкурентную зарплату и возможность работать в международной команде профессионалов. У нас есть не только кофе и печеньки, но и регулярные пинг-понг баттлы, настольный футбол, и матчи в Dota 2 по пятницам.  Что нужно делать:  Поддержка и развитие существующего приложения, быстрое устранение неполадок, обновление при изменении интерфейсов или библиотек Разработка новых функций, интеграция с новыми сервисами, поддержание качества кода Активное участие в жизни продукта, внесение предложений по улучшению.  Что мы ожидаем:  Опыт программирования для Android от 3 лет Знание Kotlin и Android SDK (Kotlin Coroutines, Dagger, Rx-java и т.д.) Понимание RESTful API, HTTP, принципов HIG Навык создания кастомных UI-компонетов Знакомство с MVVM Знание шаблонов проектирования, принципов SOLID и умение их применять Опыт с системами контроля версий (Git), написание поддерживаемого и тестируемого кода Уверенное владение русским языком.  Вашим преимуществом будут:  Java WebSocket Room, KMM, Compose, MVI, CI/CD  Условия:  Возможен удаленный формат после испытательного срока. Первые 3 месяца работа из офиса в Ташкенте.  Ждем вашего отклика!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20643123,hh_parser_qyzmet_Frontend.csv
UX/UI дизайнер,,,,,,"UX/UI дизайнер My Startups Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Абиша Кекилбайулы, 34 РЕКЛАМА Описание вакансии  В My Startups мы создаём цифровые продукты, которые делают ежедневные задачи проще и удобнее. Нам важно, чтобы продукт был логичным, понятным и приятным в использовании. Мы ищем человека, который не просто рисует интерфейсы, а помогает продукту становиться лучше через сильную логику, системность и хороший визуальный вкус.  Нам подойдёт человек, который:  Имеет более 3-х лет опыта в продуктовом дизайне;  Может показать реальные кейсы и объяснить, как именно он влиял на решение;  Умеет распутывать сложные сценарии и собирать из них понятный пользовательский опыт;  Понимает базовую логику frontend и backend и умеет проектировать с учётом реальности;  Умеет держать темп и не ждёт, пока ему разложат задачу по полочкам;  Хочет быть частью продуктовых решений, а не просто исполнителем на входящий поток.   Обязанности:  Проектировать интерфейсы, где всё выглядит уместно, работает последовательно и не заставляет пользователя страдать;  Разбираться в сценариях, находить проблемные места и предлагать решения, которые действительно улучшают опыт;  Работать с дизайн-системой: поддерживать компоненты, развивать паттерны и усиливать визуальную и UX-консистентность;  Вместе с лидом дизайна развивать фирменный стиль, брендбук и визуальную айдентику продуктов;  Формировать единый визуальный язык для продуктовых команд: от UI до промо-графики и внутренних материалов;  Поддерживать высокий уровень визуала и UX во всех точках контакта с продуктом;  Работать бок о бок с продуктовой командой и другими дизайнерами: обсуждать, спорить, улучшать, докручивать.   Условия:  Конкурентную зарплату и оформление по ТК РК;  Офис в Capital Tower, Алматы;  Гибридный график работы (2 дня удаленной работы) после ИС;  Оплату курсов и участие в профильных конференциях;  50% компенсации фитнеса до 200 000 тг.;  Медобслуживание до 400 000 тг.;  Финансовую поддержку в трудных ситуациях;  Тёплую рабочую атмосферу, регулярные тимбилдинги и открытую культуру, где можно обсуждать, спорить и предлагать;  Работу в сильной IT-команде, где ценят инициативу, идеи и вклад в продукт.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20643142,hh_parser_qyzmet_Frontend.csv
